date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:54	55412/55412	---MCZ	200	added ('OK')	text/html	etag:W/%225cdd0d3324f24673816c7c21c6152149%22	https://windexchange.energy.gov/projects/community-benefit-agreements	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements.html	(from )
21:55:55	29957/29957	---MCZ	200	added ('OK')	text/html	etag:W/%2256045b4b56d27f74ba10a835a80ec927%22	https://windexchange.energy.gov/projects/community	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:55:56	26256/26256	---MCZ	200	added ('OK')	text/html	etag:W/%22c810d69aa718eda0ff0a7c4c9c65a7a5%22	https://windexchange.energy.gov/projects/economics	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/economics.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:55:57	23157/23157	---MCZ	200	added ('OK')	text/html	etag:W/%22cba4e7c8acbab4d377724605ff35625b%22	https://windexchange.energy.gov/projects/equity	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/equity.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:55:58	18220/18220	---MCZ	200	added ('OK')	text/html	etag:W/%22bc613e51b10a240dead80ba137995dca%22	https://windexchange.energy.gov/projects/site-selection	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/site-selection.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:55:59	29222/29222	---MCZ	200	added ('OK')	text/html	etag:W/%224e780488e6d45d036c2755cdd37a6afd%22	https://windexchange.energy.gov/projects/wildlife	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/wildlife.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:00	19265/19265	---MCZ	200	added ('OK')	text/html	etag:W/%227fdb21758a2361f0a8a23d3afc033511%22	https://windexchange.energy.gov/projects/incentives	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/incentives.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:01	17343/17343	---MCZ	200	added ('OK')	text/html	etag:W/%22c226e7a8fdc0be802c1610d9430dfb32%22	https://windexchange.energy.gov/projects/economic-tools	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/economic-tools.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:02	30307/30307	---MCZ	200	added ('OK')	text/html	etag:W/%22f7e14916e753768e221864b9d8cfbb34%22	https://windexchange.energy.gov/projects/economic-impacts	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/economic-impacts.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:03	29209/29209	---MCZ	200	added ('OK')	text/html	etag:W/%228622102ddebe5b0499ba162f81a1bb2a%22	https://windexchange.energy.gov/projects/tax-credits	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/tax-credits.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:04	230998/230998	---MC-	200	added ('OK')	text/csv	etag:W/%2269dffa833013d1952721c9786285ac84%22	https://windexchange.energy.gov/projects/community-benefit-agreements/download?format=csv	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements/community-benefit-agreements1fd1.csv	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:05	57159/57159	---MCZ	200	added ('OK')	text/html	etag:W/%2255cce240b1e62d2730fdcb44b3bd0984%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=project+name	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements4568.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:06	56432/56432	---MCZ	200	added ('OK')	text/html	etag:W/%22062c794afc949a08c5361b65cf83a189%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=state&sort_dir=desc	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements33aa.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:07	54899/54899	---MCZ	200	added ('OK')	text/html	etag:W/%227f93e38ddbb3bfb5291986569af00ab6%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=county	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsae6b.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:08	55239/55239	---MCZ	200	added ('OK')	text/html	etag:W/%221792274a5874ce44f449ecc265df19e0%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=form+of+benefit	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsb996.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:09	63372/63372	---MCZ	200	added ('OK')	text/html	etag:W/%22571e840cd9c787305115568c693621f9%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=additional+form	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementseade.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:10	56546/56546	---MCZ	200	added ('OK')	text/html	etag:W/%22482805200b44c704463339a93fd10a7a%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=type+of+infrastructure	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsea1c.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:11	61009/61009	---MCZ	200	added ('OK')	text/html	etag:W/%22ace95ed7016f1fdff3e33261e0911dcd%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=number+of+turbines	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements3e4d.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:12	60289/60289	---MCZ	200	added ('OK')	text/html	etag:W/%228309cf7783530071eb96e1460bdd29d1%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=generating+capacity	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreements4e90.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
21:56:13	54975/54975	---MCZ	200	added ('OK')	text/html	etag:W/%22ad522c82874f60c1333fa4a380bc11f0%22	https://windexchange.energy.gov/projects/community-benefit-agreements?sort_by=year+built	./wind_exchange_site20250114_215552/windexchange.energy.gov/projects/community-benefit-agreementsc67e.html	(from https://windexchange.energy.gov/projects/community-benefit-agreements)
