Type of Infrastructure,Project Name,County/City,State,Form of Benefit,Year Built,"Developers, Owners, and/or Operators",Number of Turbines,Generating Capacity (Megawatts),Additional Form,Details,Sources,Created at,Updated at
Land-based wind energy project,Banner Peak,Nome Census Area,Alaska,Other,2008,Nome Joint Utility Systems / Alaska Energy Authority,18,2.8,,- The Bering Straits Native Corporation Board of Directors passed a resolution requiring that 50% of all their profits from the Banner Peak wind project be reinvested in renewable energy projects in the 17 villages of the Bering Straits Region. ,https://www.akenergyauthority.org/Portals/0/Programs/Wind/Case%20Studies/BannerPeakWindFarmExpansion2016.pdf?ver=2019-06-19-133903-640,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Chevelon Butte I & II,"Coconino County, Navajo County",Arizona,Donation/support to local cause,2023,AES,106,454.0,,"- AES has supported local organizations and events, including the Willow Bend Environmental Education Center (with a goal of improving curriculum for K-12 renewable energy programs), A Taste of Winslow, and the Winslow Library.",https://www.aes.com/chevelon-butte,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Perrin Ranch,Coconino County,Arizona,Donation/support to local cause,2012,NextEra Energy Resources,62,99.0,,"- Perrin Ranch Wind donated $500,000 to High Country Fire-Rescue for land, planning, engineering, and construction of a fire station near the wind project site. The station was constructed in 2013; prior to this, High Country-Fire Rescue had no fire station.",https://www.williamsnews.com/news/grand-canyon-news/new-fire-station-nears-completion-on-highway-64-will-serve-as-far-as-valle/article_f6d7c3db-4bb1-5214-afc7-a3a11c304407.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Offshore wind energy project,CADEMO,Federal waters,California,Formal agreement,Not yet built,Floventis Energy,4,60.0,,"- In 2023, CADEMO and the Santa Ynez Band of Chumash Indians signed a community benefit agreement for the proposed CADEMO floating offshore wind energy project being developed by Floventis Energy. The agreement includes Tribal consultation in state and federal environmental reviews, support for a Traditional Cultural Landscape Study to be conducted by the Tribe, and the Tribe gaining naming rights for the project. The agreement also creates a new nonprofit research institute that will be established and operated by the Tribe; the institute will develop Tribal oceanographic expertise and best practice for environmental comanagement of ocean and coastal resources and the proposed Chumash Heritage National Marine Sanctuary. Additionally, CADEMO and the Tribe will collaborate with the Tri-Counties Building and Construction Trades Council and California community colleges to develop education and training programs for topics like Tribal collaborative management of offshore resources, environmental reviews, and offshore wind technician training.",https://www.ciercoenergy.com/uncategorised/cademo-and-santa-ynez-chumash/,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
Land-based wind energy project,Hatchet Ridge,Shasta County,California,Fund,2010,Pattern Energy,44,101.0,,"- The Hatchet Ridge Wind Community Benefits Program invests $5 million in the local community through the Shasta County General Fund, the Burney-Fall River Education Foundation, and the Burney Regional Community Fund administered by the Community Foundation of the North State. The Burney Regional Community Fund was established to address the needs within the communities of the Greater Burney Region, and to build a community of philanthropists in the region now and forever. The fund was established with a gift of $500,000 from Pattern Energy.","https://patternenergy.com/projects/hatchet-ridge-wind/, https://cfnorthstate.org/donations/burney-regional-community-fund/, https://cfnorthstate.org/grants/burney-regional-community-fund/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Mountain View Power Partners Repower,Riverside County,California,Non-financial,2022,AES,16,66.7,,- AES donated 248 acres of land within the Whitewater Floodplain Conservation area to the Coachella Valley Conservation Commission. ,https://www.facebook.com/events/httpszoomusj92961922509/aes-mountain-view-wind-repower-project-community-workshop/799899463936073/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Ocotillo,Imperial County,California,Fund,2012,Pattern Energy,112,265.0,,"- Ocotillo has committed $3 million dollars to address the region’s challenges, needs, and opportunities through three separate endowment funds; the funds have a core goal of improving the quality of life in Imperial Valley. The three funds – the Ocotillo Wind Community Fund, the Ocotillo Wind Education Fund, and the Ocotillo Wind Imperial Valley Fund – have all been established with initial gifts of $500,000 consisting of a $475,000 endowment and a $25,000 contribution earmarked for inaugural grant cycles. The remaining $1.5 million of Ocotillo's commitment will be gifted equally and annually to the Program’s funds, ensuring that for the next twenty years, there will be at least $25,000 for grant opportunities per year to support local organizations and causes from each fund. The Imperial Valley Community Foundation administers grant processes for the Ocotillo Wind Education Fund and Ocotillo Wind Imperial Valley Fund, whereas an advisory committee of Ocotillo and No Mirage residents guides the implementation of the Ocotillo Wind Community Fund.","https://patternenergy.com/projects/ocotillo-wind/, http://www.ivcommunityfoundation.org/funds-&-programs/ocotillo-wind-community-benefits-program/",2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Rising Tree ,Kern County,California,Donation/support to local cause,"2014, 2015",EDP Renewables,60,198.0,,"- In 2020, in response to the COVID-19 pandemic, EDP Renewables donated $8,000 to Community Action Partnership of Kern on behalf of Rising Tree Wind Farm.",https://www.altenergymag.com/news/2020/08/11/rising-tree-wind-farm-celebrates-american-wind-week-and-five-years-of-clean-energy-operations/33618/,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Tule Wind Project,San Diego County,California,Donation/support to local cause,2018,Avangrid,57,186.0,,"- In 2018, Avangrid made two donations, each close to $100,000, to the Mountain Empire Unified School District and Mountain Health and Community Services.",https://www.sandiegouniontribune.com/business/energy-green/sd-fi-tule-donations-20180406-story.html,2024-08-01 14:17:00 UTC,2024-08-01 14:17:00 UTC
Land-based wind energy project,Bronco Plains,Kit Carson County,Colorado,Donation/support to local cause,2020,NextEra Energy Resources,108,299.0,,"- NextEra Energy Resources has sponsored community organizations and events, including the Colorado Wind and Solar Forum, Repowering Schools, Flagler County Schools, Colorado Governor's Relief Fund, junior/senior 4H, and Burlington Cougar Club.",https://www.theheraldtimes.com/wp-content/uploads/2023/05/NextEra-White-River-Valley-Solar-Project-FAQ25304367.8-002.pdf,2024-08-01 14:16:59 UTC,2024-08-01 14:16:59 UTC
